time    pos_x             pos_y               q_x              q_y                q_z             q_w    linear_velocity    angular_velocity    command_velocity command_angle
61.184 0.554690992757 0.337992532205 -9.31500890359e-07 1.48723822806e-06 0.0386141634083 0.999254195078 0.234803291362 0.338059004696 5.0 0.40000000596
61.272 0.575070864059 0.339813655181 -2.43779412034e-06 5.21148995077e-07 0.0527094236282 0.998609892127 0.236898589232 0.315285424832 5.0 0.40000000596
61.38 0.601096307674 0.343039998082 -5.56730758197e-06 8.25001314359e-07 0.0700605787115 0.997542738573 0.235910529466 0.312720275222 5.0 0.40000000596
61.494 0.628007015154 0.347328877902 -4.98937745441e-06 1.08980799411e-06 0.0875399509899 0.996161009553 0.235325613313 0.305400343812 5.0 0.40000000596
61.588 0.650112403359 0.351575539301 -4.70718332864e-06 8.35191032901e-07 0.101676825565 0.994817482315 0.234412277297 0.29852979401 5.0 0.40000000596
61.693 0.674685472334 0.357057262006 -2.7450569882e-06 7.82174399848e-07 0.117226285315 0.993105230085 0.233067443599 0.293267482516 5.0 0.40000000596
61.777 0.694230653717 0.36199835938 -3.76909480138e-06 1.07569236181e-07 0.129502758233 0.991579061697 0.23207482492 0.292963464466 5.0 0.40000000596
61.891 0.720574914328 0.369476149949 -3.74740952011e-06 -3.32554683284e-08 0.14595069678 0.98929186497 0.230091477831 0.290363012939 5.0 0.40000000596
61.976 0.740518566149 0.375771277964 -3.62956374646e-06 -2.43479818311e-08 0.158363006141 0.987380959039 0.228397136017 0.289289978372 5.0 0.40000000596
62.098 0.767772190594 0.385273718565 -3.75855128337e-06 -1.46661305994e-07 0.17533334688 0.984509125127 0.225813597018 0.285978623518 5.0 0.40000000596
62.198 0.790232060141 0.393908801285 -3.9925523831e-06 7.70692565531e-07 0.189328575105 0.981913789817 0.223031956035 0.282400308561 5.0 0.40000000596
62.281 0.808913765254 0.401652018553 -3.32241712438e-06 -1.10152453523e-07 0.20101870925 0.979587402185 0.221229919205 0.283327708129 5.0 0.40000000596
62.402 0.834398129265 0.413074717903 -3.53330794471e-06 2.19204909196e-08 0.217054092753 0.976159577532 0.218039919165 0.282130599119 5.0 0.40000000596
62.492 0.854773081821 0.422940312541 -2.73098998646e-06 6.61681534539e-08 0.229931187235 0.973206889171 0.215072775404 0.282905364065 5.0 0.40000000596
62.595 0.876795024438 0.434368049886 -2.9519230584e-06 -1.35558961137e-07 0.243985168398 0.969778963266 0.212069544538 0.280163612369 5.0 0.40000000596
62.677 0.894084306574 0.443918604506 -3.51082301078e-06 4.00070988374e-08 0.255105512159 0.966913221367 0.209218644946 0.279252970761 5.0 0.40000000596
62.766 0.912389990025 0.454603360813 -2.84328695895e-06 -3.81446137997e-09 0.266975473386 0.963703323955 0.206123253312 0.275609130936 5.0 0.40000000596
62.894 0.938735157359 0.471068165355 -1.1188236408e-06 -1.46423735589e-07 0.284247131219 0.958751046097 0.201976806954 0.279518400467 5.0 0.40000000596
62.987 0.956559164618 0.482981708258 -2.9846430503e-06 -7.53317004776e-07 0.296177872622 0.955132801112 0.198813913747 0.278477677152 5.0 0.40000000596
63.089 0.977403427799 0.497744001014 -1.79812133713e-06 -2.21229240998e-07 0.310230831693 0.950661259894 0.194247416619 0.277333877092 5.0 0.40000000596
63.186 0.996080226426 0.511780815489 -1.73419304456e-06 -4.49849420329e-07 0.323037632562 0.946386119903 0.190572170344 0.278741096205 5.0 0.40000000596
63.29 1.01511924947 0.526928170385 -1.61528212407e-06 -5.32911740184e-07 0.336297545692 0.941755786156 0.1867240792 0.279753555401 5.0 0.40000000596
63.394 1.03481898456 0.543554342085 -1.65600223254e-06 -6.11095149694e-07 0.350268252192 0.936649428283 0.181788489863 0.278231946617 5.0 0.40000000596
63.495 1.05224611575 0.559130039481 -1.77281546373e-06 -6.72970632398e-07 0.362863121312 0.931842451913 0.177376199765 0.276098990377 5.0 0.40000000596
63.574 1.0668237594 0.57282894188 -1.71541855923e-06 -7.97983597655e-07 0.373587417624 0.927594977018 0.173690738332 0.278491161187 5.0 0.40000000596
63.692 1.08699571682 0.592874833198 -1.63348059157e-06 -8.98752034783e-07 0.388738994267 0.92134792252 0.168516361673 0.279581944411 5.0 0.40000000596
63.789 1.10193416638 0.608603526664 -1.55449372232e-06 -1.04301765523e-06 0.400222904589 0.916417823178 0.163657752675 0.277248317989 5.0 0.40000000596
63.876 1.11711255106 0.625424518493 -1.47406958808e-06 -1.0404520665e-06 0.412149466654 0.91111624787 0.159505047328 0.279694812197 5.0 0.40000000596
63.997 1.13599497314 0.647650707382 -1.34461939435e-06 -9.80848549954e-07 0.427391757528 0.904066527195 0.152810836637 0.275825301016 5.0 0.40000000596
64.075 1.14776772281 0.662309805135 -1.33727145166e-06 -1.16382504714e-06 0.437155234346 0.899386068983 0.148714444418 0.277211827493 5.0 0.40000000596
64.195 1.16482462335 0.684767724783 -1.30535526146e-06 -1.10265430638e-06 0.451698990843 0.892170399458 0.142529913743 0.27562968288 5.0 0.40000000596
64.289 1.17827036246 0.703601487768 -1.25466701305e-06 -1.29066182145e-06 0.463545168727 0.886073290731 0.137222359416 0.276824645675 5.0 0.40000000596
64.392 1.1922649429 0.724400929916 -1.33268703102e-06 -1.47178724178e-06 0.476282738342 0.879292188726 0.132116187672 0.280110411125 5.0 0.40000000596
64.486 1.20439242192 0.7435415734 -1.25211669844e-06 -1.32894796974e-06 0.487709688447 0.873005876149 0.126296540232 0.276182780654 5.0 0.40000000596
64.578 1.21577476568 0.762574547086 -1.12764625114e-06 -1.35162817878e-06 0.498813804569 0.866709171734 0.120921334167 0.27535838706 5.0 0.40000000596
64.677 1.22736079704 0.783161253523 -1.16456735928e-06 -1.45872558678e-06 0.510551349907 0.859847264986 0.115233799893 0.275423086887 5.0 0.40000000596
64.787 1.23969307849 0.806630716684 -5.3661159486e-07 -1.54529363511e-06 0.523611163683 0.851957363525 0.108821549809 0.278201499215 5.0 0.40000000596
64.879 1.24955535339 0.826757822101 -4.21542082238e-07 -1.439896711e-06 0.534556551598 0.845132707414 0.103304282841 0.275044833055 5.0 0.40000000596
64.967 1.25801423255 0.845149954972 -3.46967054568e-07 -1.67412389936e-06 0.544365529331 0.838848121219 0.0981638319603 0.277030977414 5.0 0.40000000596
65.098 1.27070454017 0.875107724327 -2.89219860775e-07 -1.71512798307e-06 0.559973769122 0.828510336624 0.0898603693617 0.277171381997 5.0 0.40000000596
65.197 1.27912594379 0.896918069163 -8.8378935044e-07 -1.74174948976e-06 0.571072301385 0.820899766468 0.0844895235323 0.27962760379 5.0 0.40000000596
65.276 1.28570709359 0.91529818828 -2.75925770658e-07 -1.78165400265e-06 0.58025524287 0.814434683151 0.0787158221201 0.277407103628 5.0 0.40000000596
65.374 1.29311565339 0.937726752427 1.28214676311e-07 -1.62416992678e-06 0.591275658962 0.806469525225 0.0724787726533 0.277186871772 5.0 0.40000000596
65.479 1.30037235913 0.961973270929 -1.37078593227e-07 -1.79328325805e-06 0.60295479503 0.79777535381 0.0657685918452 0.277512449785 5.0 0.40000000596
65.58 1.3066842889 0.985486452513 -5.80845051037e-08 -1.6618511145e-06 0.614071322856 0.789250537183 0.0592175517227 0.277354137754 5.0 0.40000000596
65.679 1.31217757557 1.00845843886 4.9663041594e-07 -1.33541849953e-06 0.62474260624 0.780830760118 0.0528918100898 0.277513767823 5.0 0.40000000596
65.776 1.31709044217 1.03180904653 5.8831040005e-07 -1.640147775e-06 0.635402691364 0.772180950169 0.0464009880637 0.277449455746 5.0 0.40000000596
65.874 1.32108008598 1.05362083416 1.40715135428e-06 -5.34790966609e-07 0.645206470434 0.764008252905 0.0403555853508 0.277286860623 5.0 0.40000000596
65.997 1.32570125639 1.08412744814 -4.75688687721e-08 -2.72516854234e-06 0.658669739138 0.752432172848 0.0318698176845 0.27738461982 5.0 0.40000000596
66.099 1.32860662069 1.10848927447 2.98027748531e-06 1.60495688064e-05 0.669181799981 0.743098727161 0.0250150422434 0.265723096653 5.0 0.40000000596
66.2 1.33080493098 1.13232638486 -8.03772178057e-08 1.93780265606e-05 0.678564337068 0.734540972366 0.0189482392728 0.24338559012 5.0 0.300000011921
66.294 1.33245474816 1.15641309154 -6.6259797358e-07 1.43594397387e-05 0.686452531991 0.727174615286 0.0139490477594 0.205630674712 5.0 0.300000011921
66.39 1.33350495553 1.1780414448 4.45162187569e-07 1.29105092139e-05 0.692801979906 0.72112787803 0.00974966014913 0.189262245433 5.0 0.300000011921
66.475 1.33418222175 1.19922871561 1.15317277722e-06 1.09165364206e-05 0.698490275123 0.715619546574 0.00590977521657 0.175189980487 5.0 0.300000011921
66.574 1.33456530134 1.22367529179 1.7811172171e-06 8.85367847741e-06 0.704475978192 0.709727832389 0.00179243698838 0.161506518303 5.0 0.300000011921
66.667 1.33456397275 1.24660512959 1.20062938605e-06 6.93138837779e-06 0.709796237543 0.70440705641 -0.00184546929802 0.163491944777 5.0 0.300000011921
66.782 1.33408766201 1.27474735627 2.44543142902e-07 3.46258288129e-06 0.716502428782 0.697584596689 -0.00651872082489 0.175028478692 5.0 0.300000011921
66.896 1.33304257828 1.3026934952 -4.26168160819e-06 -4.55549970776e-07 0.72372977765 0.690083479678 -0.0118184855405 0.190144610919 5.0 0.300000011921
66.964 1.33213590095 1.31930875291 -6.07731019566e-06 -1.11730592509e-06 0.728266183794 0.685294364127 -0.0148907801645 0.199635493249 5.0 0.300000011921
67.102 1.33005197649 1.34785539804 -1.51864547925e-06 -1.49445033624e-06 0.736391231137 0.676555950902 -0.0204404453763 0.199669771607 5.0 0.300000011921
67.182 1.32766877842 1.37268859131 1.52094699671e-07 -2.20173148235e-06 0.743743955237 0.668464605677 -0.0259932317997 0.218992430405 5.0 0.300000011921
67.278 1.32495409582 1.39576379867 -3.16507730555e-07 -2.1263014952e-06 0.750686063139 0.660659091063 -0.0310727754512 0.221053748256 5.0 0.300000011921
67.394 1.32094135119 1.42408744461 -4.4605166483e-06 -2.61181022922e-06 0.759162037753 0.650901682597 -0.037297733187 0.215422995917 5.0 0.300000011921
67.481 1.31753722535 1.44485954545 -1.19283031524e-06 -1.61676908756e-06 0.765124627781 0.643882212799 -0.041804192947 0.21613688447 5.0 0.300000011921
67.571 1.31350928124 1.46675988413 -2.74866895327e-06 -2.28367016754e-06 0.771455261175 0.636283568853 -0.047314274886 0.217325505175 5.0 0.300000011921
67.674 1.30848786197 1.4912112617 -1.80022606183e-06 -1.31391418423e-06 0.77839810849 0.627770965157 -0.0518433129644 0.215923625531 5.0 0.300000011921
67.793 1.30177071684 1.52030672861 -3.2655144316e-06 -2.74408217905e-06 0.786569995045 0.617501127834 -0.0580771778781 0.215292740351 5.0 0.300000011921
67.896 1.29595299155 1.54307483472 -2.76658646295e-06 -1.9747109252e-06 0.792890387599 0.609364286155 -0.0634676187124 0.212888063002 5.0 0.300000011921
67.998 1.28926159115 1.56713146203 -2.05882826414e-06 -1.98333219675e-06 0.799506774769 0.600657071123 -0.0681842121025 0.214254929999 5.0 0.300000011921
68.086 1.28277275488 1.58869975819 -2.28972055175e-06 -1.80914684528e-06 0.805380075629 0.592758748371 -0.0727131413868 0.215287131911 5.0 0.300000011921
68.184 1.27531713583 1.61176227051 -2.52178141383e-06 -1.42162763733e-06 0.811601256467 0.584211777092 -0.0776664419601 0.212949112348 5.0 0.300000011921
68.277 1.26787379258 1.63328178488 -1.99256000163e-06 -1.7987316996e-06 0.817368941566 0.57611458353 -0.0823363104727 0.212217012191 5.0 0.300000011921
