time   pos_x    pos_y    q_x      q_y      q_z    q_w    linear_velocity    angular_velocity    command_velocity command_angle
1535899705.63 -0.0360266809424 -5.83169249884 0.0 0.0 0.332210780724 -0.943205172362 0.1 0.16 0.1 0.16
1535899705.68 -0.0320643867672 -5.83487895199 0.0 0.0 0.328371378553 -0.944548695276 0.1 0.16 0.1 0.16
1535899705.73 -0.0282056505454 -5.83793076482 0.0 0.0 0.324651331088 -0.945833766167 0.1 0.16 0.1 0.16
1535899705.78 -0.0242545776477 -5.84100536252 0.0 0.0 0.32086055303 -0.94712644642 0.1 0.16 0.1 0.16
1535899705.83 -0.0202678142392 -5.84405677691 0.0 0.0 0.317053937233 -0.948407507818 0.1 0.16 0.1 0.16
1535899705.88 -0.0162610684777 -5.84707275621 0.0 0.0 0.313246391079 -0.949671889905 0.1 0.16 0.1 0.16
1535899705.93 -0.0122602993802 -5.85003424655 0.0 0.0 0.309462242212 -0.950911731259 0.1 0.16 0.1 0.16
1535899705.98 -0.00821756725531 -5.85297725118 0.0 0.0 0.305655752002 -0.952142090903 0.1 0.16 0.1 0.16
1535899706.03 -0.00418703221935 -5.85586232437 0.0 0.0 0.301877773804 -0.953346636687 0.1 0.16 0.1 0.16
1535899706.08 -1.72913833538e-05 -5.85879731012 0.0 0.0 0.297986300594 -0.954570146536 0.1 0.16 0.1 0.16
1535899706.13 0.00408807970927 -5.86163718405 0.0 0.0 0.294171847996 -0.955752543207 0.1 0.16 0.1 0.16
1535899706.18 0.00815928042752 -5.86440560747 0.0 0.0 0.29040521387 -0.956903763059 0.1 0.16 0.1 0.16
1535899706.23 0.01231087032 -5.86718112425 0.0 0.0 0.286579949224 -0.958056330652 0.1 0.16 0.1 0.16
1535899706.28 0.0165220048086 -5.86994801974 0.0 0.0 0.282715678679 -0.959203755742 0.1 0.16 0.1 0.16
1535899706.33 0.0207321336243 -5.87266591411 0.0 0.0 0.278868006933 -0.960329440718 0.1 0.16 0.1 0.16
1535899706.38 0.0249201885307 -5.87532222869 0.0 0.0 0.275055683195 -0.961428297452 0.1 0.16 0.1 0.16
1535899706.43 0.0291594599186 -5.87796409172 0.0 0.0 0.270730744871 -0.962655111544 0.1 0.18 0.1 0.18
1535899706.48 0.0334899256892 -5.88060902862 0.0 0.0 0.266331607252 -0.963881463137 0.1 0.18 0.1 0.18
1535899706.53 0.0377570883137 -5.88316208226 0.0 0.0 0.262015256473 -0.965063731251 0.1 0.18 0.1 0.18
1535899706.58 0.0420749658741 -5.88569327434 0.0 0.0 0.257665398688 -0.966234206763 0.1 0.18 0.1 0.18
1535899706.63 0.0463692607998 -5.8881589307 0.0 0.0 0.253356706048 -0.967372926797 0.1 0.18 0.1 0.18
1535899706.68 0.0507574306299 -5.89062674338 0.0 0.0 0.248970910073 -0.968510963251 0.1 0.18 0.1 0.18
1535899706.73 0.0551239018338 -5.89303053195 0.0 0.0 0.244623715727 -0.969618088581 0.1 0.18 0.1 0.18
1535899706.78 0.0595123722717 -5.89539537664 0.0 0.0 0.240270994585 -0.970705850998 0.1 0.18 0.1 0.18
1535899706.83 0.0640072544214 -5.89776576753 0.0 0.0 0.235829027142 -0.971794561601 0.1 0.18 0.1 0.18
1535899706.88 0.0684463926877 -5.90005511296 0.0 0.0 0.231458217068 -0.972844845673 0.1 0.18 0.1 0.18
1535899706.93 0.0728983340231 -5.90230062338 0.0 0.0 0.22709019012 -0.973873731832 0.1 0.18 0.1 0.18
1535899706.98 0.0773300713024 -5.90448627193 0.0 0.0 0.222756896018 -0.974874025337 0.1 0.18 0.1 0.18
1535899707.03 0.0818509767589 -5.90666612187 0.0 0.0 0.218351037497 -0.975870290778 0.1 0.18 0.1 0.18
1535899707.08 0.0863657027815 -5.90879293951 0.0 0.0 0.213965687886 -0.976841176654 0.1 0.18 0.1 0.18
1535899707.13 0.0909002613861 -5.91087953429 0.0 0.0 0.209575140594 -0.977792544687 0.1 0.18 0.1 0.18
