time   x    y    orientation    linear_velocity    angular_velocity    command_velocity command_angle
79.868 18.112284523 -1.00159624663 -0.0751667518431 0.548665810546 -0.000368064424816 11.0 0.10000000149
79.988 18.1775531857 -1.00636484799 -0.0714097462696 0.548499504159 0.0420428315575 11.0 0.10000000149
80.071 18.222545421 -1.00950609252 -0.0678364207471 0.549012057832 0.0455241025725 11.0 0.10000000149
80.195 18.2906568076 -1.013955471 -0.062046300587 0.549464208059 0.0479538162652 11.0 0.20000000298
80.283 18.3394958604 -1.01681239516 -0.0543449719842 0.549990482834 0.10863631338 11.0 0.20000000298
80.365 18.3862548973 -1.01912627761 -0.0442812838834 0.550217305002 0.145157291093 11.0 0.20000000298
80.49 18.4523031371 -1.02142576206 -0.0250258547138 0.550494046823 0.174952497649 11.0 0.20000000298
80.574 18.4979881902 -1.0222348087 -0.0104609091807 0.550201276833 0.175736964707 11.0 0.20000000298
80.682 18.5629168258 -1.02224509763 0.00982218097282 0.550028098304 0.165953810804 11.0 0.20000000298
80.763 18.6025084821 -1.02162068103 0.021923152039 0.549751358243 0.172172868971 11.0 0.20000000298
80.87 18.6624016551 -1.01973022202 0.0413844006549 0.549163456222 0.183210727986 11.0 0.20000000298
80.96 18.7101504046 -1.0173670579 0.0575128301055 0.548494051512 0.187023720796 11.0 0.20000000298
81.095 18.7841107638 -1.0121632404 0.0829970819952 0.547167143334 0.19021707436 11.0 0.20000000298
81.184 18.8327667383 -1.00769481399 0.100020841853 0.54617532886 0.192373034988 11.0 0.300000011921
81.293 18.8939671631 -1.00068485913 0.127418574816 0.539927266836 0.279290480754 11.0 0.300000011921
81.378 18.9386371336 -0.994391303131 0.152421905699 0.535806593749 0.320951005362 11.0 0.300000011921
81.459 18.9811822427 -0.987197043775 0.178880007729 0.528372793631 0.328704344273 11.0 0.300000011921
81.57 19.0406627925 -0.975116280532 0.218580668318 0.520749903813 0.382298834203 11.0 0.300000011921
81.693 19.105136073 -0.958995125316 0.263674842568 0.514188497916 0.382586871342 11.0 0.300000011921
81.792 19.1552145723 -0.944320034178 0.301061466873 0.505121172658 0.398202123838 11.0 0.300000011921
81.854 19.1871957042 -0.933839274388 0.325924723987 0.525535182386 0.413344923738 11.0 0.300000011921
81.982 19.2517241108 -0.909966131692 0.375123300323 0.501824493176 0.38886005021 11.0 0.300000011921
82.102 19.3092575606 -0.885481031352 0.419603417956 0.485007200932 0.398942528701 11.0 0.20000000298
82.171 19.3435120789 -0.869620970763 0.445222637213 0.475624316157 0.340017200758 11.0 0.20000000298
82.295 19.4031132099 -0.839335676991 0.487255973566 0.465145216984 0.363195566185 11.0 0.20000000298
82.369 19.437526178 -0.820452710149 0.512331611043 0.461329615533 0.323876908297 11.0 0.20000000298
82.478 19.4874537997 -0.791015369961 0.54856614923 0.458505973523 0.324352537214 11.0 0.20000000298
82.568 19.5279272361 -0.765334505862 0.577767718823 0.447322210282 0.308074931669 11.0 0.10000000149
82.698 19.5841385586 -0.726826068716 0.612294745482 0.445548554348 0.252843191561 11.0 0.10000000149
82.77 19.6173419066 -0.703038084086 0.630715135801 0.440235168125 0.242077812498 11.0 0.10000000149
82.889 19.6692159722 -0.664015727752 0.658664231046 0.431309267739 0.2208694961 11.0 0.10000000149
82.97 19.7041440233 -0.636569321574 0.674334040663 0.429046420046 0.164991589746 11.0 2.77555756156e-17
83.053 19.7395780638 -0.60787597539 0.686727283544 0.425004647983 0.138444434934 11.0 2.77555756156e-17
83.178 19.7919456406 -0.564248541376 0.70187865353 0.419875479194 0.107532396806 11.0 2.77555756156e-17
83.263 19.8275064302 -0.533919738163 0.710259854484 0.416959662248 0.0903581283105 11.0 2.77555756156e-17
83.382 19.877699084 -0.490318371712 0.719720533828 0.413473530678 0.0676403329937 11.0 2.77555756156e-17
83.495 19.9234428979 -0.449923223348 0.72669208355 0.411002007886 0.063679798668 11.0 2.77555756156e-17
83.573 19.9562636788 -0.42062150928 0.731068779879 0.409486540367 0.0517255524713 11.0 2.77555756156e-17
83.683 20.0008092866 -0.380507491174 0.735747183288 0.407986100578 0.0236668033303 11.0 2.77555756156e-17
83.773 20.0370554885 -0.347616261706 0.738893024538 0.406680949378 0.0364673464211 11.0 2.77555756156e-17
83.887 20.084154875 -0.304588832484 0.74231043511 0.405444358808 0.0271474175118 11.0 2.77555756156e-17
83.997 20.1282922383 -0.26402040624 0.744906785849 0.40446735955 0.0206981945469 11.0 2.77555756156e-17
84.085 20.1634527544 -0.231562891483 0.746516287484 0.403852606414 0.0165131079749 11.0 2.77555756156e-17
84.162 20.1953382446 -0.202043403709 0.747695334758 0.403398070801 0.0134950830497 11.0 2.77555756156e-17
84.278 20.2420999071 -0.158635674373 0.749054129844 0.402868790478 0.0101291224999 11.0 2.77555756156e-17
84.397 20.288002984 -0.115920471148 0.750066881249 0.402471202315 0.00779220448012 11.0 2.77555756156e-17
84.474 20.3201426179 -0.0858691993159 0.751083035346 0.40189943228 0.0503492294459 11.0 0.10000000149
84.584 20.3642150237 -0.0444535361738 0.757966737958 0.3997331419 0.0735182237878 11.0 0.10000000149
84.655 20.3929114213 -0.0171383950799 0.763683036625 0.397487840901 0.0834268196816 11.0 0.10000000149
84.769 20.4382918407 0.0268403281435 0.776252465485 0.391612130282 0.144918752463 11.0 0.20000000298
84.884 20.4832760886 0.0718386750418 0.795571906877 0.383463118573 0.187292328781 11.0 0.20000000298
85.0 20.526108246 0.116536294648 0.818324197315 0.374261303209 0.215884132905 11.0 0.20000000298
